category_id,category_url,category,source_category_identifier,identifier_semantics,department,department_classification,parent_category,parent_status,discovery_status,enumeration_status,first_scan_product_count,final_scan_product_count,number_of_scroll_iterations,duplicate_count,new_products_last_iteration,completion_reason,unique_products_discovered
category:cc79f9caaccdccb9,https://www.zara.com/us/en/woman-dresses-lace-l1774.html,LINGERIE STYLE,1774,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:68a78d69fc6bab3a,https://www.zara.com/us/en/woman-dresses-linen-l1686.html,Women's Linen Dresses,1686,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7563a9dd369e86fb,https://www.zara.com/us/en/woman-dresses-belted-l17324.html,BELTED,17324,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:4c4e00e79769d251,https://www.zara.com/us/en/woman-dresses-printed-l1089.html,Women´s Printed Dresses,1089,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html,Women's Maxi Dresses,1079,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:65558b559bf9adca,https://www.zara.com/us/en/woman-dresses-long-sleeve-l1776.html,Women's Long Sleeve Dresses,1776,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:fa185dbac1392639,https://www.zara.com/us/en/woman-dresses-satin-l3082.html,Women´s Satin Dresses,3082,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e9ed71d4d4a95cb5,https://www.zara.com/us/en/woman-dresses-denim-l1704.html,Women's Denim Dresses,1704,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:4e9a71c976e64e37,https://www.zara.com/us/en/woman-dresses-tulle-l5472.html,Tulle Dresses for Woman,5472,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:a215e0866fd34050,https://www.zara.com/us/en/s-woman-dresses-l8887.html,Dresses for Women,8887,URL token; internal semantics NOT VERIFIED,UNCLASSIFIED,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:6387f930e468d9cb,https://www.zara.com/us/en/woman-dresses-elegant-l5736.html,Women’s Elegant Evening Dresses,5736,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:a6e302e156ac1097,https://www.zara.com/us/en/woman-dresses-cut-out-l4746.html,Women's Cut Out Dresses,4746,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:64d01931fe0abb82,https://www.zara.com/us/en/woman-dresses-winter-l2348.html,Women's Winter Dresses,2348,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7391a3e0b5b42dfa,https://www.zara.com/us/en/woman-dresses-bodycon-l2179.html,Women's Bodycon Dresses,2179,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:8fc10bc70c613e8e,https://www.zara.com/us/en/woman-dresses-prom-l7713.html,Prom and Formal Dresses,7713,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7cd2565cc7e05d9b,https://www.zara.com/us/en/woman-dresses-rhinestone-l7702.html,Women's Rhinestone Dresses,7702,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:818fcbcbe8d65de0,https://www.zara.com/us/en/woman-dresses-backless-l4889.html,Women's Backless Dresses,4889,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:53b84339665a9b39,https://www.zara.com/us/en/woman-dresses-sleeveless-l4203.html,Sleeveless Dress for Woman,4203,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:9c7eb7535df83c28,https://www.zara.com/us/en/woman-dresses-off-the-shoulder-l1084.html,Women's Off The Shoulder Dresses,1084,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7850948038e4d38f,https://www.zara.com/us/en/woman-dresses-work-l4481.html,Work Dresses,4481,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:2438deeeeb6becbe,https://www.zara.com/us/en/woman-dresses-casual-l4480.html,Casual Dresses,4480,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:34ff1322c9dfb87c,https://www.zara.com/us/en/woman-dresses-green-l1741.html,Women's Green Dresses,1741,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:1577d9ca51248540,https://www.zara.com/us/en/woman-dresses-baby-doll-l1067.html,Women's Shift Dresses,1067,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e49914715b6054c8,https://www.zara.com/us/en/woman-dresses-tunic-l1096.html,Tunic Dresses,1096,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:a11f999715622dcd,https://www.zara.com/us/en/woman-dresses-asymmetric-l4888.html,Women's Asymmetric Dresses,4888,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e0c0f65966a3cfb7,https://www.zara.com/us/en/woman-dresses-blue-l1677.html,Women's Blue Dresses,1677,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:f82cad1a60228624,https://www.zara.com/us/en/woman-dresses-pink-l1843.html,Women's Pink Dresses,1843,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7ffc0c8eb7d65aa1,https://www.zara.com/us/en/woman-dresses-polka-dot-l1775.html,Women's Polka Dot Dresses,1775,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:91eed39f94687279,https://www.zara.com/us/en/woman-dresses-poplin-l2350.html,Women's Cotton Dresses,2350,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:44724d4907719577,https://www.zara.com/us/en/woman-dresses-ruffles-l2349.html,Women's Ruffle Dresses,2349,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:2634ed82f09a34bf,https://www.zara.com/us/en/woman-dresses-grey-l2189.html,Women's Grey Dresses,2189,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:1a1578172e811de5,https://www.zara.com/us/en/woman-dresses-red-l1687.html,Women's Red Dresses,1687,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e710587cc6cda81d,https://www.zara.com/us/en/woman-dresses-crochet-l1071.html,Women's Crochet Dresses,1071,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7b58f84a597af287,https://www.zara.com/us/en/woman-dresses-fringe-l6302.html,FRINGED DRESSES,6302,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e01cac5391962885,https://www.zara.com/us/en/woman-dresses-mesh-l6301.html,MESH DRESSES,6301,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e1b51bf9917737ad,https://www.zara.com/us/en/woman-dresses-sequin-l2340.html,Women's Sequin Dresses,2340,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:226aa6d3141056db,https://www.zara.com/us/en/woman-dresses-pleated-l4060.html,Women's Pleated Dresses,4060,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:c1a5a483a4ee270a,https://www.zara.com/us/en/woman-dresses-animal-print-l4059.html,Animal Print Dresses,4059,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:4cf87df61285f561,https://www.zara.com/us/en/woman-dresses-wrap-l2180.html,Women's Wrap Dresses,2180,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:b8df1c8b29bf16e0,https://www.zara.com/us/en/woman-dresses-embroidered-l2185.html,Women's Embroidered Dresses,2185,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:809b3ec7006ada2a,https://www.zara.com/us/en/woman-dresses-purple-l2188.html,Women's Purple Dresses,2188,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:99b907c82d0f8281,https://www.zara.com/us/en/woman-dresses-christmas-l7116.html,Women's Christmas Dresses,7116,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:f4705897ce29dd97,https://www.zara.com/us/en/woman-dresses-leather-l4061.html,Women's Leather Dresses,4061,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:6acb4cecab5bd40b,https://www.zara.com/us/en/woman-dresses-smock-l4483.html,Smock Dresses,4483,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:a2d4d5e4ce72ebdf,https://www.zara.com/us/en/woman-dresses-striped-l4748.html,Women's Striped Dresses,4748,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:1c8b54f824e6b590,https://www.zara.com/us/en/woman-dresses-puff-sleeve-l4747.html,Puff Sleeve Dresses,4747,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:0f885743c37f71b5,https://www.zara.com/us/en/woman-dresses-halter-neck-l4884.html,Women's Halter Neck Dresses,4884,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e6c8a801356aa473,https://www.zara.com/us/en/woman-dresses-vneck-l4887.html,Women's V-Neck Dresses,4887,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e4761a6b53252c81,https://www.zara.com/us/en/woman-dresses-yellow-l2186.html,Women's Yellow Dresses,2186,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:3a6384189dddd9af,https://www.zara.com/us/en/woman-dresses-beige-l4885.html,Women's Beige Dresses,4885,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:3dc38717debb58d8,https://www.zara.com/us/en/woman-dresses-brown-l4886.html,Women's Brown Dresses,4886,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:1c40e266ce64744c,https://www.zara.com/us/en/woman-dresses-tie-dye-l4976.html,Women's Tie-Dye Dresses,4976,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:4854c1f606e69762,https://www.zara.com/us/en/woman-dresses-orange-l4977.html,Women's Orange Dresses,4977,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:73f12401e4ca5fa4,https://www.zara.com/us/en/woman-dresses-cotton-l4625.html,Cotton Dresses for Women,4625,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:6ce35cae5beebbbb,https://www.zara.com/us/en/woman-dresses-corset-l5299.html,Women Corset Dresses,5299,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:fed448c9654829cf,https://www.zara.com/us/en/woman-dresses-mini-black-l5300.html,Little Black Dresses,5300,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:af98b2942298a109,https://www.zara.com/us/en/woman-dresses-silk-l5288.html,Woman´s Silk Dresses,5288,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:a7edc4b57835246b,https://www.zara.com/us/en/woman-dresses-formal-l1582.html,Formal Dresses,1582,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:89ede178a7c82816,https://www.zara.com/us/en/woman-dresses-a-line-l5473.html,A-Line Dresses,5473,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:c2f9492ee0186589,https://www.zara.com/us/en/woman-dresses-draped-l5471.html,Women’s Draped Dresses,5471,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:cced915010a7c2b5,https://www.zara.com/us/en/woman-dresses-blazer-l2181.html,Women's Blazer Dresses,2181,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:46c737fef66a26fc,https://www.zara.com/us/en/woman-dresses-black-long-l5734.html,LONG BLACK DRESSES,5734,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:9b781a9a1bfcd5e0,https://www.zara.com/us/en/woman-dresses-velvet-l2183.html,Women's Velvet Dresses,2183,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:84dd8a7f9eae0a19,https://www.zara.com/us/en/woman-dresses-summer-l1662.html,Women's Summer Dresses,1662,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:b939226442dfa216,https://www.zara.com/us/en/woman-dresses-flowy-l6561.html,Women’s Flowy Dresses,6561,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:0a7bb9e167179e59,https://www.zara.com/us/en/woman-dresses-gold-l7016.html,Women's Gold Dresses,7016,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:6ca85004c25663fc,https://www.zara.com/us/en/woman-dresses-silver-l7017.html,Women's Silver Dresses,7017,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:d3c6a487cf06468b,https://www.zara.com/us/en/woman-dresses-metallic-l7018.html,Women's Metallic Dresses,7018,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7ff1bec2925c9c86,https://www.zara.com/us/en/woman-dresses-fall-l6563.html,Women's Autumn Dresses,6563,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:74dbb5d2b9a3544e,https://www.zara.com/us/en/woman-dresses-pinafore-l2182.html,Women's Pinafore & Overall Dresses,2182,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:63816d823735488d,https://www.zara.com/us/en/woman-dresses-plus-l7799.html,Women´s Plus Size Dresses,7799,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:b6a0cf00a2333fc5,https://www.zara.com/us/en/woman-dresses-shirt-l1091.html,Women's Shirt Dresses,1091,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:29e5fac1bfecf16a,https://www.zara.com/us/en/woman-dresses-floral-l1077.html,Women's Floral Dresses,1077,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:b07ba6b7e622920d,https://www.zara.com/us/en/woman-dresses-kaftan-l5733.html,Women's Kaftan Dresses,5733,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:2f5119b0ce450bdb,https://www.zara.com/us/en/woman-dresses-spring-l6562.html,Women's Spring Dresses,6562,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:c8cf2588f7312c69,https://www.zara.com/us/en/woman-outerwear-trench-l1202.html,Women's Trench Coats,1202,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:8fc01a4b9b27d2da,https://www.zara.com/us/en/woman-outerwear-vests-l1204.html,Women's Gilets & Vests,1204,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:308511bb0633822d,https://www.zara.com/us/en/woman-trousers-high-waist-l1779.html,Women's High Waisted Pants,1779,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:4120cf0af0efb754,https://www.zara.com/us/en/woman-trousers-wide-l1360.html,Wide Leg Pants,1360,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:45a4ea43f3604106,https://www.zara.com/us/en/woman-trousers-tailored-l15853.html,Women's Pleated Pants,15853,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:2f99de5eeaa08caf,https://www.zara.com/us/en/woman-trousers-joggers-l1346.html,Women's Joggers,1346,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:6b4593e2c2147cd7,https://www.zara.com/us/en/woman-jeans-high-waist-l1134.html,Women's High Waisted Jeans,1134,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7e3cf0d3e06fd36f,https://www.zara.com/us/en/woman-jeans-wide-leg-l2241.html,Women's Wide Leg Jeans,2241,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:dca06048f5e4d521,https://www.zara.com/us/en/woman-jeans-regular-l1140.html,Women's Straight Leg Jeans,1140,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:3479ad16a858e1b0,https://www.zara.com/us/en/woman-jeans-flare-l1132.html,Women's Flared Jeans,1132,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:29026c362e120d32,https://www.zara.com/us/en/woman-shirts-blouses-l1221.html,Women's Blouses,1221,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:bf3c889910ed8146,https://www.zara.com/us/en/woman-shirts-satin-l4089.html,Women´s Satin Shirts,4089,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:c494b55445cabd02,https://www.zara.com/us/en/woman-tshirts-long-sleeved-l1373.html,Women's Long Sleeve T-shirts,1373,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:0c976819321c5c82,https://www.zara.com/us/en/woman-tshirts-short-sleeved-l1380.html,Women´s Short Sleeve T-Shirts,1380,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:0f23bb8500b43b3d,https://www.zara.com/us/en/woman-knitwear-sweaters-l1165.html,Women's Sweaters,1165,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:85c872696efa21be,https://www.zara.com/us/en/woman-total-look-beachwear-l18125.html,BEACHWEAR,18125,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:ce7d31441e6f9e47,https://www.zara.com/us/en/woman-co-ords-knit-l6875.html,Women's Knitwear,6875,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:c331eb2cdb42904f,https://www.zara.com/us/en/woman-skirts-l1299.html,Women's Skirts,1299,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:72ff55c2686e33c7,https://www.zara.com/us/en/woman-skirts-midi-l1305.html,Women's Midi Skirts,1305,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:86c2173798278a21,https://www.zara.com/us/en/woman-skirts-mini-l1307.html,Women's Mini Skirts,1307,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:d7d569464aa0e57e,https://www.zara.com/us/en/woman-skirts-denim-l1703.html,Women's Denim Skirts,1703,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:6a5c8cdb02998906,https://www.zara.com/us/en/woman-trousers-shorts-l1355.html,Women's Shorts,1355,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:802633b0ce862039,https://www.zara.com/us/en/woman-shorts-skorts-l1297.html,Women's Skorts,1297,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:7d0144646bee1f6d,https://www.zara.com/us/en/woman-suits-l1437.html,Women's Suits,1437,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
